title,year,budget,gross,duration,classification,votes,rating,language,country,cast_total_facebook_likes,action,adventure,fantasy,sci_fi,thriller,romance,comedy,other,drama,crime
Toy Story 3 ,2010,200000000,414984497,103,U,544884,8.3,English,USA,19085,0,1,1,0,0,0,1,1,0,0
Terminator Salvation ,2009,200000000,125320003,118,12A,286095,6.6,English,USA,27468,1,1,0,1,0,0,0,0,0,0
Furious 7 ,2015,190000000,350034110,140,12A,278232,7.2,English,USA,79150,1,0,0,0,1,0,0,0,0,1
World War Z ,2013,190000000,202351611,123,12A,465019,7,English,USA,32392,1,1,0,1,1,0,0,1,0,0
X-Men: Days of Future Past ,2014,200000000,233914986,149,12A,514125,8,English,USA,91434,1,1,1,1,1,0,0,0,0,0
Star Trek Into Darkness ,2013,190000000,228756232,132,12A,395573,7.8,English,USA,21411,1,1,0,1,0,0,0,0,0,0
Jack the Giant Slayer ,2013,195000000,65171860,114,12A,106416,6.3,English,USA,1766,0,1,1,0,0,0,0,0,0,0
The Great Gatsby ,2013,105000000,144812796,143,12A,362912,7.3,English,Australia,29770,0,0,0,0,0,1,0,0,1,0
Prince of Persia: The Sands of Time ,2010,200000000,90755643,116,12A,222403,6.6,English,USA,16149,1,1,1,0,0,1,0,0,0,0
Pacific Rim ,2013,190000000,101785482,131,12A,381148,7,English,USA,19166,1,1,0,1,0,0,0,0,0,0
Transformers: Dark of the Moon ,2011,195000000,352358779,154,12A,326180,6.3,English,USA,2593,1,1,0,1,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull ,2008,185000000,317011114,122,12A,333847,6.2,English,USA,14959,1,1,1,0,0,0,0,0,0,0
Brave ,2012,185000000,237282182,93,PG,273556,7.2,English,USA,5005,0,1,1,0,0,0,1,1,0,0
Star Trek Beyond ,2016,185000000,130468626,122,12A,53607,7.5,English,USA,1327,1,1,0,1,1,0,0,0,0,0
WALL·E ,2008,180000000,223806889,98,U,718837,8.4,English,USA,2975,0,1,0,1,0,0,0,1,0,0
Rush Hour 3 ,2007,140000000,140080850,91,12A,121084,6.2,English,USA,1125,1,0,0,0,1,0,1,0,0,1
2012 ,2009,200000000,166112167,158,12A,283418,5.8,English,USA,2144,1,1,0,1,0,0,0,0,0,0
A Christmas Carol ,2009,200000000,137850096,96,PG,72809,6.8,English,USA,48878,0,0,1,0,0,0,0,1,1,0
Jupiter Ascending ,2015,176000000,47375327,127,12A,139593,5.4,English,USA,47334,1,1,0,1,0,0,0,0,0,0
The Legend of Tarzan ,2016,180000000,124051759,110,12A,42372,6.6,English,USA,21175,1,1,0,0,0,1,0,0,1,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,180000000,291709845,150,PG,286506,6.9,English,USA,1317,0,1,1,0,0,0,0,1,0,0
X-Men: Apocalypse ,2016,178000000,154985087,144,12A,148379,7.3,English,USA,49684,1,1,0,1,0,0,0,0,0,0
The Dark Knight ,2008,185000000,533316061,152,12A,1676169,9,English,USA,57802,1,0,0,0,1,0,0,0,1,1
Up ,2009,175000000,292979556,96,PG,665575,8.3,English,USA,2635,0,1,0,0,0,0,1,1,0,0
Monsters vs. Aliens ,2009,175000000,198332128,94,PG,114553,6.5,English,USA,2579,1,1,0,1,0,0,1,1,0,0
Iron Man ,2008,140000000,318298180,126,12A,696338,7.9,English,USA,39252,1,1,0,1,0,0,0,0,0,0
Hugo ,2011,170000000,73820094,126,PG,245333,7.5,English,USA,36017,0,1,0,0,0,0,0,1,1,0
Wild Wild West ,1999,170000000,113745408,106,12A,129601,4.8,English,USA,15870,1,0,0,1,0,0,1,1,0,0
The Mummy: Tomb of the Dragon Emperor ,2008,145000000,102176165,112,12A,117927,5.2,English,USA,9131,1,1,1,0,1,0,0,1,0,0
Suicide Squad ,2016,175000000,161087183,123,12A,118992,6.9,English,USA,11287,1,1,0,1,0,0,1,0,0,0
Evan Almighty ,2007,175000000,100289690,96,PG,115099,5.4,English,USA,108016,0,0,1,0,0,0,1,1,0,0
Edge of Tomorrow ,2014,178000000,100189501,113,12A,431620,7.9,English,USA,12652,1,1,0,1,0,0,0,0,0,0
Waterworld ,1995,175000000,88246220,176,12A,144337,6.1,English,USA,1004,1,1,0,1,1,0,0,0,0,0
G.I. Joe: The Rise of Cobra ,2009,175000000,150167630,118,12A,174578,5.8,English,USA,26683,1,1,0,1,1,0,0,0,0,0
Inside Out ,2015,175000000,356454367,95,PG,345198,8.3,English,USA,2944,0,1,1,0,0,0,1,1,1,0
The Jungle Book ,2016,175000000,362645141,106,PG,106072,7.8,English,UK,32921,0,1,1,0,0,0,0,1,1,0
Iron Man 2 ,2010,200000000,312057433,124,12A,522371,7,English,USA,48638,1,1,0,1,0,0,0,0,0,0
Snow White and the Huntsman ,2012,170000000,155111815,132,12A,228554,6.1,English,USA,72881,1,1,1,0,0,0,0,0,1,0
Maleficent ,2014,180000000,241407328,97,PG,252257,7,English,USA,15516,1,1,1,0,0,1,0,1,0,0
Dawn of the Planet of the Apes ,2014,170000000,208543795,130,12A,317542,7.6,English,USA,14363,1,1,0,1,0,0,0,0,1,0
47 Ronin ,2013,175000000,38297305,128,12A,116994,6.3,English,USA,20965,1,1,1,0,0,0,0,0,1,0
Captain America: The Winter Soldier ,2014,170000000,259746958,136,12A,496749,7.8,English,USA,36188,1,1,0,1,0,0,0,0,0,0
Shrek Forever After ,2010,165000000,238371987,93,PG,138661,6.4,English,USA,4628,0,1,1,0,0,0,1,1,0,0
Tomorrowland ,2015,190000000,93417865,130,PG,128306,6.5,English,USA,5046,1,1,0,1,0,0,0,1,0,0
Big Hero 6 ,2014,165000000,222487711,102,PG,279093,7.9,English,USA,2963,1,1,0,1,0,0,1,1,1,0
Wreck-It Ralph ,2012,165000000,189412677,101,PG,272534,7.8,English,USA,4451,0,1,0,1,0,0,1,1,0,0
The Polar Express ,2004,165000000,665426,100,U,120798,6.6,English,USA,16264,0,1,1,0,0,0,0,1,0,0
Independence Day: Resurgence ,2016,165000000,102315545,120,12A,58137,5.5,English,USA,3233,1,1,0,1,0,0,0,0,0,0
How to Train Your Dragon ,2010,165000000,217387997,98,PG,485430,8.2,English,USA,20453,0,1,1,0,0,0,0,1,0,0
Terminator 3: Rise of the Machines ,2003,200000000,150350192,109,15,305340,6.4,English,USA,1769,1,0,0,1,0,0,0,0,0,0
Guardians of the Galaxy ,2014,170000000,333130696,121,12A,682155,8.1,English,USA,32438,1,1,0,1,0,0,0,0,0,0
Interstellar ,2014,165000000,187991439,169,12A,928227,8.6,English,USA,31488,0,1,0,1,0,0,0,0,1,0
Inception ,2010,160000000,292568851,148,12A,1468200,8.8,English,USA,81115,1,1,0,1,1,0,0,0,0,0
The Hobbit: An Unexpected Journey ,2012,180000000,303001229,182,12A,637246,7.9,English,USA,9152,0,1,1,0,0,0,0,0,0,0
The Fast and the Furious ,2001,38000000,144512310,106,12A,272223,6.7,English,USA,45327,1,0,0,0,1,0,0,0,0,1
The Curious Case of Benjamin Button ,2008,150000000,127490802,166,12A,459346,7.8,English,USA,13333,0,0,1,0,0,1,0,0,1,0
X-Men: First Class ,2011,160000000,146405371,132,12A,518537,7.8,English,USA,50983,1,1,0,1,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 2 ,2015,160000000,281666058,137,12A,166137,6.6,English,USA,81385,0,1,0,1,0,0,0,0,0,0
The Sorcerer's Apprentice ,2010,150000000,63143812,109,PG,124185,6.1,English,USA,13388,1,1,1,0,0,0,0,1,0,0
Poseidon ,2006,160000000,60655503,98,12A,82380,5.6,English,USA,92456,1,1,0,0,1,0,0,0,1,0
Alice Through the Looking Glass ,2016,170000000,76846624,113,PG,21352,6.4,English,USA,80806,0,1,1,0,0,0,0,1,0,0
Shrek the Third ,2007,160000000,320706665,93,PG,211971,6.1,English,USA,4705,0,1,1,0,0,0,1,1,0,0
Warcraft ,2016,160000000,46978995,123,12A,111609,7.3,English,USA,5505,1,1,1,0,0,0,0,0,0,0
Terminator Genisys ,2015,155000000,89732035,126,12A,188457,6.6,English,USA,38873,1,1,0,1,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,155000000,104383624,113,PG,106446,6.3,English,USA,764,0,1,1,0,0,0,0,1,0,0
Pearl Harbor ,2001,140000000,198539855,184,12A,254111,6.1,English,USA,5401,1,0,0,0,0,1,0,1,1,0
Transformers ,2007,150000000,318759914,144,12A,513158,7.1,English,USA,2333,1,1,0,1,0,0,0,0,0,0
Alexander ,2004,155000000,34293771,206,15,138863,5.5,English,Germany,24598,1,1,0,0,0,1,0,1,1,0
Harry Potter and the Order of the Phoenix ,2007,150000000,292000866,138,12A,355137,7.5,English,UK,33433,0,1,1,0,0,0,0,1,0,0
Harry Potter and the Goblet of Fire ,2005,150000000,289994397,157,12A,385670,7.6,English,UK,53413,0,1,1,0,0,0,0,1,0,0
Hancock ,2008,150000000,227946274,102,12A,343648,6.4,English,USA,21584,1,0,0,0,0,0,0,0,1,0
I Am Legend ,2007,150000000,256386216,104,12A,530870,7.2,English,USA,13076,0,0,0,1,0,0,0,1,1,0
Charlie and the Chocolate Factory ,2005,150000000,206456431,115,PG,320284,6.7,English,USA,57844,0,1,1,0,0,0,1,1,0,0
Ratatouille ,2007,150000000,206435493,111,U,473887,8,English,USA,4764,0,0,1,0,0,0,1,1,0,0
Batman Begins ,2005,150000000,205343774,128,12A,980946,8.3,English,USA,59558,1,1,0,0,0,0,0,0,0,0
Madagascar: Escape 2 Africa ,2008,150000000,179982968,89,PG,146019,6.7,English,USA,3285,1,1,0,0,0,0,1,1,0,0
Night at the Museum: Battle of the Smithsonian ,2009,150000000,177243721,105,PG,130272,5.9,English,USA,54039,0,1,1,0,0,0,1,1,0,0
X-Men Origins: Wolverine ,2009,150000000,179883016,119,12A,361924,6.7,English,USA,40054,1,1,1,1,1,0,0,0,0,0
The Matrix Revolutions ,2003,150000000,139259759,129,15,364948,6.7,English,Australia,1062,1,0,0,1,0,0,0,0,0,0
Frozen ,2013,150000000,400736600,102,PG,421658,7.6,English,USA,2582,0,1,1,0,0,0,1,1,0,0
The Matrix Reloaded ,2003,150000000,281492479,138,15,421818,7.2,English,USA,534,1,0,0,1,0,0,0,0,0,0
Thor: The Dark World ,2013,170000000,206360018,112,12A,414070,7.1,English,USA,59803,1,1,1,0,0,0,0,0,0,0
Mad Max: Fury Road ,2015,150000000,153629485,120,15,552503,8.1,English,Australia,40025,1,1,0,1,1,0,0,0,0,0
Angels & Demons ,2009,150000000,133375846,146,12A,207839,6.7,English,USA,16948,0,0,0,0,1,0,0,1,0,0
Thor ,2011,150000000,181015141,115,12A,536314,7,English,USA,60059,1,1,1,0,0,0,0,0,0,0
Bolt ,2008,150000000,114053579,96,PG,146766,6.9,English,USA,20007,0,1,0,0,0,0,1,1,1,0
G-Force ,2009,150000000,119420252,88,PG,33042,5.1,English,USA,2217,1,1,1,1,0,0,1,1,0,0
Wrath of the Titans ,2012,150000000,83640426,99,12A,152826,5.8,English,USA,16184,1,1,1,0,0,0,0,0,0,0
Dark Shadows ,2012,100000000,79711678,113,12A,199039,6.2,English,USA,80849,0,0,1,0,0,0,1,1,0,0
Mission: Impossible - Rogue Nation ,2015,150000000,195000874,131,12A,232187,7.4,English,China,21840,1,1,0,0,1,0,0,0,0,0
The Wolfman ,2010,150000000,61937495,119,15,89442,5.8,English,USA,13071,0,0,1,0,1,0,0,1,1,0
The Legend of Tarzan ,2016,180000000,124051759,110,12A,42372,6.6,English,USA,21175,1,1,0,0,0,1,0,0,1,0
Bee Movie ,2007,150000000,126597121,91,PG,105902,6.2,English,USA,6576,0,1,0,0,0,0,1,1,0,0
Kung Fu Panda 2 ,2011,150000000,165230261,90,PG,182718,7.3,English,USA,21015,1,1,0,0,0,0,1,1,0,0
The Last Airbender ,2010,150000000,131564731,103,PG,118951,4.2,English,USA,2857,1,1,1,0,0,0,0,1,0,0
Mission: Impossible III ,2006,150000000,133382309,124,12A,256695,6.9,English,USA,34817,1,1,0,0,1,0,0,0,0,0
White House Down ,2013,150000000,73103784,131,12A,164238,6.4,English,USA,18204,1,0,0,0,1,0,0,0,1,0
Mars Needs Moms ,2011,150000000,21379315,88,PG,17590,5.4,English,USA,2652,1,1,0,1,0,0,1,1,0,0
Flushed Away ,2006,149000000,64459316,85,PG,85086,6.7,English,UK,35161,0,1,0,0,0,0,1,1,0,0
Pan ,2015,150000000,34964818,111,PG,39956,5.8,English,USA,21393,0,1,1,0,0,0,0,1,0,0
Mr. Peabody & Sherman ,2014,145000000,111505642,92,PG,47900,6.9,English,USA,5810,0,1,0,1,0,0,1,1,0,0
Troy ,2004,175000000,133228348,196,15,381672,7.2,English,USA,17944,0,1,0,0,0,0,0,0,0,0
Madagascar 3: Europe's Most Wanted ,2012,145000000,216366733,93,PG,119213,6.9,English,USA,2444,0,1,0,0,0,0,1,1,0,0
Die Another Day ,2002,142000000,160201106,133,12A,169914,6.1,English,UK,2538,1,1,0,0,1,0,0,0,0,0
Ghostbusters ,2016,144000000,118099659,116,12A,69757,5.5,English,USA,2097,1,0,1,1,0,0,1,0,0,0
Armageddon ,1998,140000000,201573391,153,12A,322395,6.6,English,USA,26029,1,1,0,1,1,0,0,0,0,0
Men in Black II ,2002,140000000,190418803,88,12A,270207,6.1,English,USA,14823,1,1,1,1,0,0,1,1,0,0
Beowulf ,2007,150000000,82161969,115,12A,142440,6.3,English,USA,31523,1,1,1,0,0,0,0,1,0,0
Kung Fu Panda 3 ,2016,145000000,143523463,95,PG,64322,7.2,English,USA,36095,1,1,0,0,0,0,1,1,0,0
Mission: Impossible - Ghost Protocol ,2011,145000000,209364921,133,12A,365104,7.4,English,USA,21768,1,1,0,0,1,0,0,0,0,0
Rise of the Guardians ,2012,145000000,103400692,97,PG,123553,7.3,English,USA,20645,0,1,1,0,0,0,0,1,0,0
Fun with Dick and Jane ,2005,100000000,110332737,90,12A,110788,6.1,English,USA,1997,0,0,0,0,0,0,1,0,0,1
The Last Samurai ,2003,140000000,111110575,154,15,317166,7.7,English,USA,11945,1,0,0,0,0,0,0,1,1,0
Exodus: Gods and Kings ,2014,140000000,65007045,150,12A,128682,6.1,English,UK,26490,1,1,0,0,0,0,0,0,1,0
Star Trek ,2009,150000000,257704099,127,12A,504419,8,English,USA,39284,1,1,0,1,0,0,0,0,0,0
Spider-Man ,2002,139000000,403706375,121,12A,544665,7.3,English,USA,40484,1,1,1,0,0,1,0,0,0,0
How to Train Your Dragon 2 ,2014,145000000,176997107,102,PG,221128,7.9,English,USA,23378,1,1,1,0,0,0,1,1,0,0
Gods of Egypt ,2016,140000000,31141074,126,12A,51892,5.5,English,USA,19769,1,1,1,0,0,0,0,0,0,0
Stealth ,2005,135000000,31704416,121,12A,45455,5,English,USA,2705,1,1,0,1,1,0,0,0,0,0
Watchmen ,2009,130000000,107503316,215,15,392474,7.7,English,USA,2530,1,0,0,1,0,0,0,1,1,0
Lethal Weapon 4 ,1998,140000000,129734803,127,15,127497,6.6,English,USA,6171,1,0,0,0,1,0,0,0,0,1
Hulk ,2003,137000000,132122995,138,12A,212106,5.7,English,USA,1814,1,0,0,1,0,0,0,0,0,0
G.I. Joe: Retaliation ,2013,130000000,122512052,122,12A,146352,5.8,English,USA,31958,1,1,0,1,1,0,0,0,0,0
Sahara ,2005,130000000,68642452,124,12A,77673,6,English,UK,13073,1,1,0,0,1,0,1,0,0,0
Final Fantasy: The Spirits Within ,2001,137000000,32131830,106,12A,72259,6.4,English,USA,15015,1,1,1,1,0,1,0,1,0,0
Captain America: The First Avenger ,2011,140000000,176636816,124,12A,508818,6.9,English,USA,19761,1,1,0,1,0,0,0,0,0,0
The World Is Not Enough ,1999,135000000,126930660,128,12A,157519,6.4,English,UK,2037,1,1,0,0,1,0,0,0,0,0
Master and Commander: The Far Side of the World ,2003,150000000,93926386,138,12A,168207,7.4,English,USA,1205,1,1,0,0,0,0,0,1,1,0
The Twilight Saga: Breaking Dawn - Part 2 ,2012,120000000,292298923,115,12A,185394,5.5,English,USA,59177,0,1,1,0,0,1,0,0,1,0
Happy Feet 2 ,2011,135000000,63992328,100,PG,32399,5.9,English,Australia,62644,0,0,0,0,0,0,1,1,0,0
The Incredible Hulk ,2008,150000000,134518390,135,12A,326286,6.8,English,USA,5811,1,1,0,1,0,0,0,0,0,0
The BFG ,2016,140000000,52792307,117,PG,12572,6.8,English,UK,1950,0,1,1,0,0,0,0,1,0,0
The Revenant ,2015,135000000,183635922,156,15,406020,8.1,English,USA,57108,0,1,0,0,1,0,0,1,1,0
Turbo ,2013,135000000,83024900,96,PG,62424,6.5,English,USA,17416,0,1,0,0,0,0,1,1,0,0
Rango ,2011,135000000,123207194,107,PG,183208,7.2,English,USA,43291,0,1,0,0,0,0,1,1,0,0
Penguins of Madagascar ,2014,132000000,83348920,92,PG,60230,6.7,English,USA,19963,0,1,0,0,0,0,1,1,0,0
The Bourne Ultimatum ,2007,110000000,227137090,115,12A,491077,8.1,English,USA,17369,1,0,0,0,1,0,0,1,0,0
Kung Fu Panda ,2008,130000000,215395021,92,PG,307029,7.6,English,USA,12754,1,1,0,0,0,0,1,1,0,0
Ant-Man ,2015,130000000,180191634,117,12A,313866,7.4,English,USA,5730,1,1,0,1,0,0,1,0,0,0
The Hunger Games: Catching Fire ,2013,130000000,424645577,146,12A,498397,7.6,English,USA,49355,0,1,0,1,1,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 2 ,2012,120000000,292298923,115,12A,185394,5.5,English,USA,59177,0,1,1,0,0,1,0,0,1,0
Home ,2015,135000000,177343675,94,PG,70121,6.7,English,USA,17883,0,1,1,1,0,0,1,1,0,0
War of the Worlds ,2005,132000000,234277056,116,12A,334345,6.5,English,USA,12758,0,1,0,1,1,0,0,0,0,0
Bad Boys II ,2003,130000000,138396624,147,15,178126,6.6,English,USA,12954,1,0,0,0,1,0,1,0,0,1
Puss in Boots ,2011,130000000,149234747,90,PG,114287,6.7,English,USA,5046,1,1,1,0,0,0,1,1,0,0
Salt ,2010,110000000,118311368,101,12A,245621,6.4,English,USA,12406,1,0,0,0,1,0,0,1,0,1
Noah ,2014,125000000,101160529,138,12A,200022,5.8,English,USA,32355,1,1,0,0,0,0,0,0,1,0
The Adventures of Tintin ,2011,135000000,77564037,107,PG,177383,7.4,English,USA,4631,1,1,0,0,0,0,0,1,0,0
Harry Potter and the Prisoner of Azkaban ,2004,130000000,249358727,142,PG,382255,7.8,English,UK,33284,0,1,1,0,0,0,0,1,0,0
Australia ,2008,130000000,49551662,165,12A,102338,6.6,English,Australia,921,0,1,0,0,0,1,0,1,1,0
After Earth ,2013,130000000,60522097,100,12A,158720,4.9,English,USA,14168,1,1,0,1,0,0,0,0,0,0
Dinosaur ,2000,127500000,137748063,82,PG,38438,6.5,English,USA,2945,0,1,0,0,1,0,0,1,0,0
Night at the Museum: Secret of the Tomb ,2014,127000000,113733726,98,PG,67223,6.2,English,USA,53587,0,1,1,0,0,0,1,1,0,0
Megamind ,2010,130000000,148337537,95,PG,172754,7.3,English,USA,46120,1,0,0,1,0,0,1,1,0,0
Harry Potter and the Sorcerer's Stone ,2001,125000000,317557891,159,PG,444683,7.5,English,UK,13191,0,1,1,0,0,0,0,1,0,0
R.I.P.D. ,2013,130000000,33592415,96,12A,91640,5.6,English,USA,31549,1,0,1,0,0,0,1,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl ,2003,140000000,305388685,143,12A,809474,8.1,English,USA,48184,1,1,1,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1 ,2014,125000000,337103873,123,12A,305008,6.7,English,USA,81385,0,1,0,1,1,0,0,0,0,0
The Da Vinci Code ,2006,125000000,217536138,174,12A,314253,6.6,English,USA,16008,0,0,0,0,1,0,0,1,0,0
Rio 2 ,2014,103000000,131536019,101,U,58498,6.4,English,USA,1031,0,1,0,0,0,0,1,1,0,0
X-Men 2 ,2003,110000000,214948780,134,12A,405973,7.5,English,Canada,20952,1,1,1,1,1,0,0,0,0,0
Fast Five ,2011,125000000,209805005,132,12A,284792,7.3,English,USA,55345,1,0,0,0,1,0,0,0,0,1
Sherlock Holmes: A Game of Shadows ,2011,125000000,186830669,129,12A,338635,7.5,English,USA,22403,1,1,0,0,1,0,0,1,0,1
Clash of the Titans ,2010,125000000,163192114,106,12A,229679,5.8,English,USA,18003,1,1,1,0,0,0,0,0,0,0
Total Recall ,1990,65000000,119412921,113,15,240241,7.5,English,USA,1441,1,0,0,1,0,0,0,0,0,0
The 13th Warrior ,1999,85000000,32694788,102,15,101411,6.6,English,USA,1815,1,1,0,0,0,0,0,1,0,0
The Bourne Legacy ,2012,125000000,113165635,135,12A,229823,6.7,English,USA,12175,1,1,0,0,1,0,0,0,0,0
Batman & Robin ,1997,125000000,107285004,125,12A,189855,3.7,English,USA,2699,1,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas ,2000,123000000,260031035,110,PG,141414,6,English,USA,4146,0,0,1,0,0,0,1,1,0,0
The Day After Tomorrow ,2004,125000000,186739919,124,12A,333248,6.4,English,USA,20553,1,1,0,1,1,0,0,0,0,0
Mission: Impossible II ,2000,125000000,215397307,123,12A,242188,6.1,English,USA,11930,1,1,0,0,1,0,0,0,0,0
The Perfect Storm ,2000,140000000,182618434,130,12A,133076,6.4,English,USA,2684,1,1,0,0,1,0,0,0,1,0
Fantastic 4: Rise of the Silver Surfer ,2007,130000000,131920333,92,PG,213275,5.6,English,USA,15302,1,1,0,1,1,0,0,0,0,0
Life of Pi ,2012,120000000,124976634,127,PG,440084,8,English,USA,2121,0,1,1,0,0,0,0,0,1,0
Ghost Rider ,2007,110000000,115802596,123,12A,182661,5.2,English,USA,14017,1,0,1,0,1,0,0,0,0,0
Jason Bourne ,2016,120000000,108521835,123,12A,40123,7.1,English,UK,13752,1,0,0,0,1,0,0,0,0,0
Charlie's Angels: Full Throttle ,2003,120000000,100685880,107,12A,100821,4.8,English,USA,4046,1,1,0,0,0,0,1,0,0,1
Prometheus ,2012,130000000,126464904,124,15,456260,7,English,USA,24098,0,1,0,1,0,0,0,1,0,0
Stuart Little 2 ,2002,120000000,64736114,77,PG,36471,5.4,English,USA,2682,0,1,1,0,0,0,1,1,0,0
Elysium ,2013,115000000,93050117,109,15,338087,6.6,English,USA,17689,1,0,0,1,1,0,0,0,1,0
